impd,site,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,ha,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,wind1,wind2,wind3,wind4,wind5,wind6,wind7,wind8,wind9,doy1,doy2,doy3,doy4,doy5,doy6,doy7,doy8,doy9
gesl,2,2,2,0,0,1,1,1,1,1,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,3,1,1,2,0,0,0,0,1,0,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,4,1,2,1,1,0,1,0,0,3,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,5,3,0,0,0,2,4,0,1,3,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,6,2,2,2,0,1,3,1,1,0,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,7,3,4,2,2,4,3,2,2,3,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,8,0,0,0,0,0,0,1,0,0,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,9,1,0,0,0,1,0,0,0,0,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
gesl,10,0,0,0,0,0,0,1,1,1,39,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778,3.540548,21.243288,4.82802,10.138842,9.816974,7.724832,9.334172,8.368568,16.737136,166,174,181,188,203,209,221,229,237
lvsl,1,2,0,0,2,1,2,0,2,0,71,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30,7.081096,14.48406,24.94477,3.701482,14.001258,13.035654,15.932466,12.87472,14.162192,160,168,174,197,204,211,225,230,238
